strategy,avg_latency,p95_latency,p99_latency,success_rate,npu_load,rho_critical_theory,rho_critical_observed,total_energy,throughput,avg_wait_time,total_tasks,lambda
RandomScheduler,40.46376767687699,90.64287993300368,96.574320283392,0.9951338199513382,0.031109977384649427,0.8576446119052994,0.0,501.9133174683521,2.055,1.3550586663255342,411,2
RoundRobinScheduler,38.945034216671026,90.42255476642325,94.97162251660195,1.0,0.028323206101109867,0.8495360101571278,0.0,501.1132714926587,2.055,0.0,411,2
LoadBalanceScheduler,34.954766576768066,85.25155454143984,87.34211938282286,1.0,0.0004581424007757562,0.95,0.0,483.9669341362844,2.055,0.0,411,2
FastestResponseScheduler,48.37596224104449,95.45314965067232,166.9139193205689,0.9732360097323601,0.08944303985710707,0.8560253185825752,0.0,499.3549375371273,2.055,4.063362968451799,411,2
E2MACSScheduler,37.11426836598225,91.30363314683798,96.32811179539543,1.0,0.03339976533555402,0.95,0.0,487.17193839962243,2.055,0.7441863789620092,411,2
OracleScheduler,38.42383098465688,92.59590610717794,95.78125376484951,1.0,0.03575969183858259,0.95,0.0,509.1626050965192,2.055,0.046861879827022904,411,2
RandomScheduler,41.3595262866654,91.46796214809996,106.82139663528034,0.987546699875467,0.06127735903731159,0.8547774362158919,0.0,540.5077911639993,4.015,1.9676766448102376,803,4
RoundRobinScheduler,39.10992808747173,90.04305967151254,95.88998046352289,1.0,0.05749686472252104,0.8552050164470834,0.0,539.9727858266534,4.015,0.08222861465513537,803,4
LoadBalanceScheduler,35.28925560926473,84.85633300688845,89.51657936643927,1.0,0.0014686267427333189,0.9013687845644912,0.0,512.1649387611826,4.015,0.07102064454305525,803,4
FastestResponseScheduler,52.129600134130094,115.47082527741776,178.1781024179557,0.9676214196762142,0.17560839948321444,0.8562799340656988,0.0,537.2676957726136,4.015,6.729027277855222,803,4
E2MACSScheduler,40.498496077349444,98.43315250654993,165.12459707141392,1.0,0.12668225110253772,0.95,0.0,523.3540073683411,4.015,2.5107134841388974,803,4
OracleScheduler,38.66514956044595,91.72680212086277,95.70713747589508,1.0,0.06607724927462441,0.95,0.0,557.5763965994724,4.015,0.1206144564004492,803,4
