strategy,avg_latency,p95_latency,p99_latency,success_rate,npu_load,rho_critical_theory,rho_critical_observed,total_energy,throughput,avg_wait_time,total_tasks,lambda,distribution
RandomScheduler,61.099677901776055,93.69239771439375,155.69857540341516,1.0,0.04582581121716801,0.8974952781870424,0.0,522.4377640130597,2.055,2.2933262823127696,411,2,heavy_detect
RoundRobinScheduler,58.38830531008751,90.96150389739144,95.56618829151088,1.0,0.040911374869146463,0.8869614793761881,0.0,522.0542724685955,2.055,0.0005054359662958389,411,2,heavy_detect
LoadBalanceScheduler,54.70679274783413,86.18080333631895,90.03658219073284,1.0,0.001788879714650271,0.95,0.0,499.6549796044359,2.055,0.0,411,2,heavy_detect
FastestResponseScheduler,71.98314370637043,130.47596080575374,202.71069748512326,0.9805352798053528,0.13001106051380845,0.8931126054755661,0.0,517.2048666260754,2.055,6.737001796348052,411,2,heavy_detect
E2MACSScheduler,58.95462830695477,95.10149244906074,147.8669124642716,1.0,0.06333941634648553,0.95,0.0,504.292152621346,2.055,1.3642894824629883,411,2,heavy_detect
OracleScheduler,59.182370576389765,92.44002834187626,95.9691580476509,1.0,0.05859135104449047,0.95,0.0,534.874134539848,2.055,0.13156492429701966,411,2,heavy_detect
RandomScheduler,61.205667273630624,96.24949983896869,162.74822705334438,0.9900373599003736,0.08668487288157786,0.8885136850956278,0.0,577.6919066905393,4.015,3.4036320148512536,803,4,heavy_detect
RoundRobinScheduler,57.37042043379894,92.15247135261961,96.36199436294845,1.0,0.08294706900338113,0.8897952755700823,0.0,578.670204332677,4.015,0.20076333550439093,803,4,heavy_detect
LoadBalanceScheduler,53.74299797580508,87.15161369524722,93.42666970543947,1.0,0.0057477290967129935,0.89316132926954,0.0,543.0842231918645,4.015,0.13628841262123056,803,4,heavy_detect
FastestResponseScheduler,78.01700566282196,167.5219432519135,238.41859987997293,0.962640099626401,0.24865314404695535,0.8900531197600786,0.0,569.4073833806596,4.015,10.95623772039639,803,4,heavy_detect
E2MACSScheduler,61.83175411640842,127.48141664699585,189.11888379334877,0.9975093399750934,0.15642710455065256,0.95,0.0,550.4877409528955,4.015,3.633848898501006,803,4,heavy_detect
OracleScheduler,58.11311915015786,93.06006103704901,102.17263131257917,1.0,0.10972653252843333,0.95,0.0,603.1730484167961,4.015,0.33577191628923253,803,4,heavy_detect
RandomScheduler,62.1525634316064,114.24675484078328,164.77631988788764,0.9874581939799331,0.12031199487944447,0.8923593677419204,0.0,630.3137271860264,5.98,5.1146362677093995,1196,6,heavy_detect
RoundRobinScheduler,56.544096700703,91.23843512471197,96.29194114285544,1.0,0.1222407961975967,0.890649657336905,0.0,632.9789184090519,5.98,0.38657685434398353,1196,6,heavy_detect
LoadBalanceScheduler,53.2944081800186,86.41090056232414,92.71920222945411,1.0,0.013732040964424808,0.8863645091174005,0.0,590.3416450420526,5.98,0.28046458932275226,1196,6,heavy_detect
FastestResponseScheduler,85.30428074857885,196.62752716585175,265.9339828722763,0.9506688963210702,0.3640850289923508,0.8889847376035526,0.3640850289923508,620.1974127566298,5.98,14.395965949917095,1196,6,heavy_detect
E2MACSScheduler,59.14819647990341,97.29878660267089,172.03854916044017,0.9991638795986622,0.17755252846672534,0.9472253218424376,0.0,588.7770649360798,5.98,2.584156544540482,1196,6,heavy_detect
OracleScheduler,57.44337875960998,93.02438435814109,115.80455294272387,1.0,0.16642422536346962,0.95,0.0,666.8821786018116,5.98,0.5665746557293229,1196,6,heavy_detect
RandomScheduler,63.22620317552418,126.42285192188751,166.3813778616017,0.9880578252671276,0.17490715284090225,0.8850540003239165,0.0,689.2490012397865,7.955,5.798224552765881,1591,8,heavy_detect
RoundRobinScheduler,56.957579879271925,91.08368844518111,100.98440867710511,0.9993714644877436,0.1627785475998099,0.8907775148811794,0.0,690.7330463380333,7.955,0.6745439726324901,1591,8,heavy_detect
LoadBalanceScheduler,53.908070858253936,87.54687607864753,95.54256397897937,0.9993714644877436,0.027307160018603262,0.8916563708347464,0.0,641.9799908542014,7.955,0.5469496947257402,1591,8,heavy_detect
FastestResponseScheduler,99.42828249617406,234.83790687789963,331.18864230105197,0.912005028284098,0.48526938971216427,0.8891028547140495,0.48526938971216427,673.5185314733529,7.955,19.327924358460283,1591,8,heavy_detect
E2MACSScheduler,61.24803523684495,120.59389025540224,184.71875558768,0.9987429289754871,0.22845968141226486,0.9407097556325084,0.0,630.7268298638322,7.955,3.6199597249087145,1591,8,heavy_detect
OracleScheduler,57.65651383018189,93.9084711629139,117.94900986033946,1.0,0.21500753376700632,0.95,0.0,734.6785468501228,7.955,0.8123598135838643,1591,8,heavy_detect
RandomScheduler,65.99520071434942,140.80008891410748,180.98861675185896,0.9798994974874372,0.21246238553004596,0.8896949766579657,0.0,750.6722791541451,9.95,7.723123780006037,1990,10,heavy_detect
RoundRobinScheduler,57.507040945727056,92.38961945273587,114.193945609449,0.9979899497487437,0.20341627631723674,0.8901568445599685,0.0,747.5484828321893,9.95,1.1286278230176188,1990,10,heavy_detect
LoadBalanceScheduler,54.42113202265467,88.36036417847808,96.3558748682427,0.9989949748743718,0.043833170745474694,0.8915228407713476,0.0,696.8188780945574,9.95,0.8112354159688218,1990,10,heavy_detect
FastestResponseScheduler,122.0116097266581,298.88367288075585,387.6329273482736,0.8567839195979899,0.6066458625462334,0.8892786761264988,0.6066458625462334,726.9241795203403,9.95,24.059720301869742,1990,10,heavy_detect
E2MACSScheduler,62.326020036354564,135.38973763912892,191.4928152808217,0.9989949748743718,0.35217250379262666,0.95,0.0,764.1763021661527,9.95,4.39298105085776,1990,10,heavy_detect
OracleScheduler,58.11057974941866,94.30468474367348,118.58523609355883,0.9989949748743718,0.2673571785062485,0.95,0.0,801.3124915390274,9.95,1.0474240294427541,1990,10,heavy_detect
RandomScheduler,67.65773482998942,146.75554053950634,196.57274143970696,0.9746677740863787,0.24720182359899884,0.8896332119641234,0.0,808.0847045770766,12.04,9.015735712268167,2408,12,heavy_detect
RoundRobinScheduler,57.49644592344305,92.98140332582818,122.31577280662141,0.9975083056478405,0.24374532046967834,0.889591089672783,0.0,803.8896904336705,12.04,1.6110421544563296,2408,12,heavy_detect
LoadBalanceScheduler,54.52937951907445,88.39658975970224,105.50150263465797,0.997093023255814,0.06440856132780173,0.8889579904160035,0.0,753.369010257861,12.04,1.1464311413754507,2408,12,heavy_detect
FastestResponseScheduler,162.62660448310524,407.976727801026,543.2583439701169,0.7329734219269103,0.7290028239296172,0.8880132436840943,0.7290028239296172,781.2920058683878,12.04,28.923843376258805,2408,12,heavy_detect
E2MACSScheduler,58.249930566992205,94.89775351372955,183.2383833090687,0.9946013289036545,0.14365075211557918,0.8964330134739031,0.0,767.0593180332655,12.04,2.563359103292074,2408,12,heavy_detect
OracleScheduler,58.37263625241519,96.46648101398796,133.1983766390732,0.9975083056478405,0.3183348933622533,0.95,0.0,866.7966065335586,12.04,1.3182203500928356,2408,12,heavy_detect
RandomScheduler,70.02000965717916,153.64897676660544,206.85932153814773,0.9685714285714285,0.27444683998505437,0.8853942757599311,0.0,869.1019136924823,14.0,10.527391604651418,2800,14,heavy_detect
RoundRobinScheduler,58.415180270853845,94.4779155144893,131.13133951199555,0.9957142857142857,0.28426573651939463,0.8893529285720392,0.0,861.7474490046885,14.0,2.2243784630158845,2800,14,heavy_detect
LoadBalanceScheduler,55.628469864443446,90.49125100821163,122.37940664565681,0.9964285714285714,0.0930289397727416,0.8912650221389575,0.0,814.7354665624283,14.0,1.6507173381005584,2800,14,heavy_detect
FastestResponseScheduler,288.8617507633745,749.1797350417313,949.9395390976567,0.5089285714285714,0.851046510981771,0.8885463890661137,0.851046510981771,834.4604648319767,14.0,34.075946853654195,2800,14,heavy_detect
E2MACSScheduler,60.06216470161675,96.65301370429654,181.2769090406656,0.9953571428571428,0.19293381682868124,0.8464614301696428,0.0,836.146805537873,14.0,2.8170112509353302,2800,14,heavy_detect
OracleScheduler,59.70642645786021,102.3707887306355,175.90761304813208,0.9967857142857143,0.37376069980245225,0.95,0.0,931.0579713855936,14.0,1.7781012614504814,2800,14,heavy_detect
RandomScheduler,71.86443025149488,159.93794202957756,214.45810675474337,0.9647205744614424,0.33061817050258546,0.8902387438818641,0.0,922.1860844045145,16.015,11.35285876795379,3203,16,heavy_detect
RoundRobinScheduler,58.84176675646457,95.95518661896988,131.7639102080622,0.9943802684982829,0.32323064812545943,0.8881055453495691,0.0,916.9726615532885,16.015,2.821041372261181,3203,16,heavy_detect
LoadBalanceScheduler,55.99975105306234,91.13029860097224,134.47320984104988,0.9950046831095848,0.11816665439926383,0.8892186227539729,0.0,870.8852766068657,16.015,2.2098610164612746,3203,16,heavy_detect
FastestResponseScheduler,791.9584042368228,1831.1571699233932,2478.827866403254,0.16796753044021231,0.9694424841412344,0.8877573420810252,0.9694424841412344,887.7961121242065,16.015,38.49821383452127,3203,16,heavy_detect
E2MACSScheduler,68.63502036578754,172.27481669406438,257.3573672455668,0.9965657196378396,0.535065960527081,0.95,0.0,960.7800154159405,16.015,7.376077706212997,3203,16,heavy_detect
OracleScheduler,60.435715106744716,108.06403835113655,180.2479663415903,0.9959413050265377,0.4135157949969476,0.95,0.0,993.4846774228519,16.015,2.2560146355710806,3203,16,heavy_detect
RandomScheduler,74.30634765000646,165.30860154418855,220.32287735695056,0.9598226655583264,0.3616858412612571,0.8905939552101283,0.0,978.2832424707078,18.045,12.679903863657069,3609,18,heavy_detect
RoundRobinScheduler,60.02244479479125,103.33953568192271,140.07788734399423,0.9916874480465503,0.3647170861793523,0.8884992066676342,0.0,976.6051911697195,18.045,3.7674336507998754,3609,18,heavy_detect
LoadBalanceScheduler,57.515423335429496,93.16587781280248,143.5119615699486,0.9944582986977002,0.15291315595248273,0.8882761512550063,0.0,932.2786744890129,18.045,3.1396338160309525,3609,18,heavy_detect
FastestResponseScheduler,9634.505773752653,18342.92991279666,19035.05631481376,0.0038791909116098642,1.0970881315326433,0.8883849813347375,1.0970881315326433,987.7294509063538,18.045,40.34752819915392,3609,18,heavy_detect
E2MACSScheduler,71.90466417628424,191.59633617384256,280.708824158051,0.9927957883070102,0.5962311111069236,0.9465795371645443,0.5962311111069236,1031.9021862363124,18.045,8.216449282690286,3609,18,heavy_detect
OracleScheduler,63.24066884725059,121.83894023261814,197.27566359932334,0.9941812136325852,0.4708338702557331,0.9472890569226537,0.0,1062.3415400787997,18.045,3.0291117400445224,3609,18,heavy_detect
RandomScheduler,77.62683072687548,173.98076830256028,243.05407591165374,0.9531366228613936,0.4033725620085077,0.8893132131369693,0.0,1040.89862464177,20.165,14.012379434679172,4033,20,heavy_detect
RoundRobinScheduler,61.09834983481971,112.39514166153127,149.43593788528455,0.9903297793206051,0.4083032080432335,0.8884118528142206,0.0,1036.373365045154,20.165,4.9014486180719015,4033,20,heavy_detect
LoadBalanceScheduler,58.39876038506804,98.51641991839406,149.07365472820982,0.994297049342921,0.1882462312464407,0.8883952978867409,0.0,992.3723755531963,20.165,4.047764806225844,4033,20,heavy_detect
FastestResponseScheduler,22055.502944427735,41956.333111047126,43935.887433368596,0.002479543763947434,1.2215776123254865,0.8878942791839991,1.2215776123254865,1099.6912652843034,20.165,40.71650252671003,4033,20,heavy_detect
E2MACSScheduler,73.38131342821572,210.24314067562386,297.94574799359134,0.9895859161914208,0.6221585350008957,0.9471807549883159,0.6221585350008957,1107.6136668780102,20.165,8.24524936594875,4033,20,heavy_detect
OracleScheduler,64.49690189438016,131.17049247430825,204.00245953115405,0.9910736424497892,0.5160446630005839,0.9450133733895791,0.0,1126.377387378484,20.165,3.504456488378134,4033,20,heavy_detect
RandomScheduler,83.18089745248557,191.62459452553344,262.2534903260739,0.9400269541778976,0.43838672533656703,0.8880240219920378,0.43838672533656703,1108.2797501817272,22.26,15.972535829681858,4452,22,heavy_detect
RoundRobinScheduler,62.78569064653572,120.9824299865886,156.68426381633438,0.9874213836477987,0.448377096748559,0.887929542318147,0.0,1097.6470353310228,22.26,6.158393369510625,4452,22,heavy_detect
LoadBalanceScheduler,60.11838657533301,114.81548348423087,154.3802999677784,0.9889937106918238,0.22802064115194845,0.8918984979420888,0.0,1056.2506280175974,22.26,5.425518195910284,4452,22,heavy_detect
FastestResponseScheduler,34538.25472661694,66631.07715314436,69481.1932455938,0.0017969451931716084,1.350996424815233,0.8881950286782185,1.350996424815233,1216.1346720076685,22.26,40.36516293165883,4452,22,heavy_detect
E2MACSScheduler,73.72187909641752,211.55986819707257,307.87136750543476,0.9858490566037735,0.6115918104992631,0.95,0.6115918104992631,1175.904155603007,22.26,8.546031537678903,4452,22,heavy_detect
