strategy,avg_latency,p95_latency,p99_latency,success_rate,npu_load,rho_critical_theory,rho_critical_observed,total_energy,throughput,avg_wait_time,total_tasks,lambda,distribution
RandomScheduler,27.119186455806467,87.91858873714631,94.06050449630996,0.9927007299270073,0.023160199681288463,0.8307977977809098,0.0,488.1996806233434,2.055,0.7766291856149747,411,2,heavy_voice
RoundRobinScheduler,26.237587159998792,88.83631545239545,94.32344252192166,1.0,0.020457802767708477,0.8190017225152604,0.0,487.39070170759356,2.055,0.0,411,2,heavy_voice
LoadBalanceScheduler,22.08916866851456,84.38771706948955,86.53066873048516,1.0,0.0,0.9329331046312178,0.0,474.80405385753977,2.055,0.0,411,2,heavy_voice
FastestResponseScheduler,33.34430944241165,92.33544533298499,103.7733484622605,0.9829683698296837,0.0635520392690317,0.825239810187172,0.0,487.96289727837376,2.055,2.268417320733069,411,2,heavy_voice
E2MACSScheduler,22.87537400686481,88.49656639970682,94.21639171743335,1.0,0.01910799107060567,0.95,0.0,476.8591524696454,2.055,0.028011672583053857,411,2,heavy_voice
OracleScheduler,24.102306699361346,89.77613399539308,94.12336713229621,1.0,0.022171616427188394,0.95,0.0,490.00613919471857,2.055,0.006780942206996892,411,2,heavy_voice
RandomScheduler,27.527831015816037,88.29895250267761,94.46423840701877,0.9912826899128269,0.042433720700110394,0.8243355043346094,0.0,514.9283256232954,4.015,1.24552226118617,803,4,heavy_voice
RoundRobinScheduler,26.183030613198184,88.14939939538107,90.93620587711045,1.0,0.04207595121141644,0.8258072356995572,0.0,513.6588486878213,4.015,0.04843280737040059,803,4,heavy_voice
LoadBalanceScheduler,22.155233905064147,83.35093027810973,87.16130801961242,1.0,0.0005225276902465481,0.8319945642150551,0.0,491.5678320832112,4.015,0.030505829812083336,803,4,heavy_voice
FastestResponseScheduler,35.66462552442307,94.81106149108456,138.1444078251959,0.9701120797011208,0.12401168148787095,0.8255097698329188,0.0,514.5651398546637,4.015,4.229490596788079,803,4,heavy_voice
E2MACSScheduler,23.36906261349285,89.33503835304606,94.16284847334653,1.0,0.04358365917958757,0.9207122167976072,0.0,493.92087329596427,4.015,0.2585926633496785,803,4,heavy_voice
OracleScheduler,24.029297443457285,89.37919043683569,92.91112102431642,1.0,0.039908349575892316,0.95,0.0,519.578031610367,4.015,0.009160131351497788,803,4,heavy_voice
RandomScheduler,26.470089029786873,87.09925307164835,94.28959333802345,0.9891304347826086,0.058078442077225054,0.826079641367046,0.0,535.152997001542,5.98,1.829498479102908,1196,6,heavy_voice
RoundRobinScheduler,24.901848479609875,86.9673955537067,92.04115323897777,0.9991638795986622,0.059933569748517004,0.8246561901610312,0.0,535.9615112779766,5.98,0.10736602032147569,1196,6,heavy_voice
LoadBalanceScheduler,21.0539815498258,82.20548629386393,86.20742594982289,1.0,0.0008984955875129419,0.9166670487492117,0.0,506.63491976177465,5.98,0.010363024317979296,1196,6,heavy_voice
FastestResponseScheduler,36.67108535114054,97.43841138548781,148.1995346079637,0.9581939799331104,0.17648265565627674,0.8237099961632777,0.0,537.6523684887621,5.98,5.61995650999935,1196,6,heavy_voice
E2MACSScheduler,22.17991056285483,89.48374007952609,94.16952603366013,1.0,0.06561580733772569,0.95,0.0,526.6762357131684,5.98,0.24538072676898204,1196,6,heavy_voice
OracleScheduler,22.65928910990855,88.99112259871967,93.2652460502009,1.0,0.05362147486149854,0.9411977362104077,0.0,543.8322543900003,5.98,0.03796478566903369,1196,6,heavy_voice
RandomScheduler,28.206599339155613,89.14934192887358,97.80618037407145,0.9849151477058454,0.08717945179617169,0.8229931797401235,0.0,566.4027927408181,7.955,2.1061340107014406,1591,8,heavy_voice
RoundRobinScheduler,25.78496088312176,87.33731354488583,93.10583820351353,0.9993714644877436,0.08005084180065251,0.8245533516323008,0.0,564.3514870849472,7.955,0.19068636141430276,1591,8,heavy_voice
